"","s.name","r.name","r.type","norm","threshold","seqnames","strand","start","end","width","tel.length","chr.end"
"1","cen-pk","SRR13577846.100009","nl","normalized","36-38","ref|NC_001147|","+",1084790,1091246,6457,2.026,"3'"
"2","cen-pk","SRR13577846.100099","nl","normalized","36-38","ref|NC_001145|","-",913927,924305,10379,0.16,"5'"
"3","cen-pk","SRR13577846.100107","nl","normalized","36-38","ref|NC_001144|","-",1062229,1071640,9412,0.572,"5'"
"4","cen-pk","SRR13577846.10012","nl","normalized","36-38","ref|NC_001147|","+",1082712,1091257,8546,0.513,"3'"
"5","cen-pk","SRR13577846.100131","nl","normalized","36-38","ref|NC_001141|","+",103,8166,8064,0.53,"5'"
"6","cen-pk","SRR13577846.100146","nl","normalized","36-38","ref|NC_001136|","-",1515771,1525334,9564,0.53,"5'"
"7","cen-pk","SRR13577846.100176","nl","normalized","36-38","ref|NC_001141|","-",105,8166,8062,0.503,"3'"
"8","cen-pk","SRR13577846.100193","nl","normalized","36-38","ref|NC_001140|","+",553998,558619,4622,0.543,"3'"
"9","cen-pk","SRR13577846.100250","nl","normalized","36-38","ref|NC_001148|","+",938161,948066,9906,0.575,"3'"
"10","cen-pk","SRR13577846.1003","nl","normalized","36-38","ref|NC_001146|","-",1,10087,10087,0.694,"3'"
"11","cen-pk","SRR13577846.100352","nl","normalized","36-38","ref|NC_001147|","-",114,8200,8087,0.793,"3'"
"12","cen-pk","SRR13577846.100379","nl","normalized","36-38","ref|NC_001140|","-",553077,562441,9365,0.66,"5'"
"13","cen-pk","SRR13577846.100446","nl","normalized","36-38","ref|NC_001134|","-",805341,813132,7792,0.636,"5'"
"14","cen-pk","SRR13577846.100450","nl","normalized","36-38","ref|NC_001134|","-",1,6659,6659,0.73,"3'"
"15","cen-pk","SRR13577846.100525","nl","normalized","36-38","ref|NC_001146|","-",1,7478,7478,0.814,"3'"
"16","cen-pk","SRR13577846.10064","nl","normalized","36-38","ref|NC_001144|","+",16489,26641,10153,0.342,"5'"
"17","cen-pk","SRR13577846.100642","nl","normalized","36-38","ref|NC_001147|","-",1081511,1091235,9725,0.93,"5'"
"18","cen-pk","SRR13577846.100648","nl","normalized","36-38","ref|NC_001136|","+",157,9286,9130,0.512,"5'"
"19","cen-pk","SRR13577846.100668","nl","normalized","36-38","ref|NC_001134|","+",1,6659,6659,0.554,"5'"
"20","cen-pk","SRR13577846.100714","nl","normalized","36-38","ref|NC_001138|","-",1,9070,9070,0.712,"3'"
"21","cen-pk","SRR13577846.100735","nl","normalized","36-38","ref|NC_001142|","-",81,6930,6850,0.62,"3'"
"22","cen-pk","SRR13577846.100787","nl","normalized","36-38","ref|NC_001144|","+",68,8211,8144,0.866,"5'"
"23","cen-pk","SRR13577846.10080","nl","normalized","36-38","ref|NC_001147|","+",1082870,1091270,8401,0.575,"3'"
"24","cen-pk","SRR13577846.100814","nl","normalized","36-38","ref|NC_001146|","-",1,9168,9168,0.405,"3'"
"25","cen-pk","SRR13577846.100859","nl","normalized","36-38","ref|NC_001144|","+",1068977,1078177,9201,0.902,"3'"
"26","cen-pk","SRR13577846.100973","nl","normalized","36-38","ref|NC_001144|","-",16489,24239,7751,0.861,"3'"
"27","cen-pk","SRR13577846.101122","nl","normalized","36-38","ref|NC_001138|","-",262340,270131,7792,0.56,"5'"
"28","cen-pk","SRR13577846.101352","nl","normalized","36-38","ref|NC_001136|","-",1517362,1525334,7973,0.448,"5'"
"29","cen-pk","SRR13577846.101402","nl","normalized","36-38","ref|NC_001144|","+",16489,24161,7673,0.518,"5'"
"30","cen-pk","SRR13577846.101428","nl","normalized","36-38","ref|NC_001140|","+",553316,562427,9112,0.577,"3'"
"31","cen-pk","SRR13577846.101492","nl","normalized","36-38","ref|NC_001140|","-",553998,558619,4622,0.6,"5'"
"32","cen-pk","SRR13577846.101510","nl","normalized","36-38","ref|NC_001134|","-",804939,813131,8193,0.524,"5'"
"33","cen-pk","SRR13577846.101545","nl","normalized","36-38","ref|NC_001141|","+",102,6948,6847,0.354,"5'"
"34","cen-pk","SRR13577846.101663","nl","normalized","36-38","ref|NC_001144|","-",1062081,1071633,9553,0.466,"5'"
"35","cen-pk","SRR13577846.101678","nl","normalized","36-38","ref|NC_001144|","+",1069253,1078177,8925,0.855,"3'"
"36","cen-pk","SRR13577846.101690","nl","normalized","36-38","ref|NC_001142|","+",737914,745641,7728,0.573,"3'"
"37","cen-pk","SRR13577846.101707","nl","normalized","36-38","ref|NC_001139|","+",1082380,1090940,8561,0.193,"3'"
"38","cen-pk","SRR13577846.101725","nl","normalized","36-38","ref|NC_001134|","+",1,7881,7881,0.96,"5'"
"39","cen-pk","SRR13577846.101772","nl","normalized","36-38","ref|NC_001140|","-",60,7530,7471,0.392,"3'"
"40","cen-pk","SRR13577846.101822","nl","normalized","36-38","ref|NC_001134|","-",1,6659,6659,0.598,"3'"
"41","cen-pk","SRR13577846.101826","nl","normalized","36-38","ref|NC_001146|","-",1,6689,6689,0.888,"3'"
"42","cen-pk","SRR13577846.101833","nl","normalized","36-38","ref|NC_001146|","+",1,8119,8119,0.648,"5'"
"43","cen-pk","SRR13577846.101843","nl","normalized","36-38","ref|NC_001144|","+",87,9631,9545,0.548,"5'"
"44","cen-pk","SRR13577846.101877","nl","normalized","36-38","ref|NC_001146|","+",1,7478,7478,0.972,"5'"
"45","cen-pk","SRR13577846.101883","nl","normalized","36-38","ref|NC_001144|","+",1062250,1071618,9369,0.801,"3'"
"46","cen-pk","SRR13577846.101948","nl","normalized","36-38","ref|NC_001140|","-",553998,558619,4622,0.53,"5'"
"47","cen-pk","SRR13577846.101962","nl","normalized","36-38","ref|NC_001134|","+",805229,813117,7889,0.627,"3'"
"48","cen-pk","SRR13577846.102010","nl","normalized","36-38","ref|NC_001146|","-",1,7261,7261,0.777,"3'"
"49","cen-pk","SRR13577846.102024","nl","normalized","36-38","ref|NC_001144|","+",64,9370,9307,0.766,"5'"
"50","cen-pk","SRR13577846.102059","nl","normalized","36-38","ref|NC_001144|","-",1070108,1078177,8070,0.848,"5'"
"51","cen-pk","SRR13577846.102104","nl","normalized","36-38","ref|NC_001144|","-",16489,23144,6656,0.693,"3'"
"52","cen-pk","SRR13577846.102135","nl","normalized","36-38","ref|NC_001142|","-",91,7908,7818,0.539,"3'"
"53","cen-pk","SRR13577846.102153","nl","normalized","36-38","ref|NC_001144|","+",1070606,1078177,7572,1.48,"3'"
"54","cen-pk","SRR13577846.102179","nl","normalized","36-38","ref|NC_001134|","+",1,9373,9373,0.56,"5'"
"55","cen-pk","SRR13577846.102204","nl","normalized","36-38","ref|NC_001146|","+",1,8017,8017,0.854,"5'"
"56","cen-pk","SRR13577846.102206","nl","normalized","36-38","ref|NC_001138|","-",1,5298,5298,0.845,"3'"
"57","cen-pk","SRR13577846.102207","nl","normalized","36-38","ref|NC_001142|","+",736577,745640,9064,0.592,"3'"
"58","cen-pk","SRR13577846.102233","nl","normalized","36-38","ref|NC_001138|","+",1,9380,9380,0.76,"5'"
"59","cen-pk","SRR13577846.102344","nl","normalized","36-38","ref|NC_001135|","+",377,10032,9656,0.948,"5'"
"60","cen-pk","SRR13577846.102369","nl","normalized","36-38","ref|NC_001147|","+",1082000,1091249,9250,0.658,"3'"
"61","cen-pk","SRR13577846.102435","nl","normalized","36-38","ref|NC_001138|","+",1,7822,7822,0.148,"5'"
"62","cen-pk","SRR13577846.10250","nl","normalized","36-38","ref|NC_001145|","-",5620,13007,7388,0.772,"3'"
"63","cen-pk","SRR13577846.102540","nl","normalized","36-38","ref|NC_001148|","+",938572,948066,9495,0.444,"3'"
"64","cen-pk","SRR13577846.102581","nl","normalized","36-38","ref|NC_001145|","-",5598,13946,8349,0.689,"3'"
"65","cen-pk","SRR13577846.102729","nl","normalized","36-38","ref|NC_001141|","-",106,8166,8061,0.4,"3'"
"66","cen-pk","SRR13577846.102753","nl","normalized","36-38","ref|NC_001144|","+",1062081,1071620,9540,0.871,"3'"
"67","cen-pk","SRR13577846.102772","nl","normalized","36-38","ref|NC_001141|","-",97,8166,8070,0.679,"3'"
"68","cen-pk","SRR13577846.102778","nl","normalized","36-38","ref|NC_001140|","-",552920,562430,9511,0.742,"5'"
"69","cen-pk","SRR13577846.102919","nl","normalized","36-38","ref|NC_001140|","-",550244,556823,6580,0.748,"5'"
"70","cen-pk","SRR13577846.103012","nl","normalized","36-38","ref|NC_001144|","+",1069338,1078177,8840,1.858,"3'"
"71","cen-pk","SRR13577846.103018","nl","normalized","36-38","ref|NC_001142|","+",734720,745639,10920,0.636,"3'"
"72","cen-pk","SRR13577846.10302","nl","normalized","36-38","ref|NC_001141|","-",106,8166,8061,0.544,"3'"
"73","cen-pk","SRR13577846.103057","nl","normalized","36-38","ref|NC_001146|","-",1,9415,9415,0.966,"3'"
"74","cen-pk","SRR13577846.103117","nl","normalized","36-38","ref|NC_001144|","-",112,7688,7577,0.507,"3'"
"75","cen-pk","SRR13577846.10314","nl","normalized","36-38","ref|NC_001142|","-",94,8918,8825,0.225,"3'"
"76","cen-pk","SRR13577846.103148","nl","normalized","36-38","ref|NC_001136|","+",1516602,1525334,8733,0.426,"3'"
"77","cen-pk","SRR13577846.103184","nl","normalized","36-38","ref|NC_001142|","+",125,5857,5733,0.342,"5'"
"78","cen-pk","SRR13577846.103251","nl","normalized","36-38","ref|NC_001146|","+",1,8369,8369,0.442,"5'"
"79","cen-pk","SRR13577846.103276","nl","normalized","36-38","ref|NC_001144|","+",1070160,1078177,8018,0.829,"3'"
"80","cen-pk","SRR13577846.103334","nl","normalized","36-38","ref|NC_001142|","-",47,6931,6885,0.581,"3'"
"81","cen-pk","SRR13577846.103367","nl","normalized","36-38","ref|NC_001140|","-",554505,562423,7919,0.736,"5'"
"82","cen-pk","SRR13577846.103416","nl","normalized","36-38","ref|NC_001146|","+",1,8663,8663,0.548,"5'"
"83","cen-pk","SRR13577846.103433","nl","normalized","36-38","ref|NC_001144|","-",16489,23482,6994,0.499,"3'"
"84","cen-pk","SRR13577846.10344","nl","normalized","36-38","ref|NC_001146|","-",1,8383,8383,0.701,"3'"
"85","cen-pk","SRR13577846.103496","nl","normalized","36-38","ref|NC_001144|","+",1070953,1078177,7225,2.053,"3'"
